questId	tag	sim	local_v83_en	remote_en	remote_zh
4932	needs-review	0.05	Grendel The Really Old's Glorious Days	-	Grendel The Really Old's Glorious Days
4933	needs-review	0.11	Cody's Confession	-	Cody's Confession
4934	needs-review	0.12	Manji's Approval	-	Manji's Approval
4935	needs-review	0.10	Blackbull's Mistake	-	Blackbull's Mistake
4936	needs-review	0.12	Bruce's Research	-	Bruce's Research
4937	needs-review	0.05	Dances with Balrog's Barbarism Part 1	-	Dances with Balrog's Barbarism Part 1
4938	needs-review	0.05	Dances with Balrog's Barbarism Part 2	-	Dances with Balrog's Barbarism Part 2
4939	needs-review	0.08	Winston's Scheme Part 1	-	Winston's Scheme Part 1
4940	needs-review	0.08	Winston's Scheme Part 2	-	Winston's Scheme Part 2
4960	needs-review	0.20	Eat This!	-	Eat This!
5009	likely-same	0.96	Giant Swowman's Purple box	Giant Snowman's Purple box	交换白色的礼物盒
5069	likely-same	0.77	Easter : Mad Bunny's Easter(Red)	[Easter Events] Mad Bunny's Red Easter	Mad Bunny's Red Easter
6000	likely-same	0.81	The Wandering Alchemist Eurek's New Skill	[Legendary Spirit] The Wandering Alchemist Eurek's New Skill	流浪炼金术士的新技术
6002	likely-same	0.78	Monster Riding	[Mount] Monster Riding	骑兽技能
6003	likely-same	0.81	Pheromone Perfume	[Mount] Pheromone Perfume	费洛蒙香水
6004	likely-same	0.65	Lost Saddle	[Mount] The Lost Saddle	丢失的鞍子
6005	likely-same	0.75	Lost Perfume	[Mount] Lost Perfume	丢失的香水
6006	needs-review	0.44	Silver Mane	[Mount] Silverbristle	银色野猪
6007	likely-same	0.85	Dragon's Perfume Bottle	[Mount] Dragon's Perfume Bottle	飞龙的香水瓶
6008	likely-same	0.75	Dragon Rider	[Mount] Dragon Rider	御龙魔
6009	likely-same	0.75	Dragon Rider	[Mount] Dragon Rider	御龙魔
6010	likely-same	0.75	Dragon Rider	[Mount] Dragon Rider	御龙魔
6011	likely-same	0.75	Dragon Rider	[Mount] Dragon Rider	御龙魔
6013	likely-same	0.75	Dragon Rider	[Mount] Dragon Rider	御龙魔
6029	likely-same	0.95	Meren's New Discovery	Moren's New Discovery	威尔斯的新技术
6032	likely-same	0.97	Meren's Class on the Actual Practice	Moren's Class on the Actual Practice	威尔斯的实习课程
6033	likely-same	0.97	Meren's Second Round of Teaching	Moren's Second Round of Teaching	威尔斯的第二次教导
6034	likely-same	0.94	What Meren Dropped	What Moren Dropped	威尔斯错过的东西
6105	likely-same	0.73	The One Who Remembers...	The Rememberer...	记忆者
6133	likely-same	0.86	Caron's Note	Caron's Notebook	卡伦的册子
6280	likely-same	0.60	 The Holy Knight's Sword	The Templar's Sword	神圣的骑士之剑
6931	likely-same	0.97	Helin's First Story	Hellin's First Story	哈林的第一个真实的故事
6932	likely-same	0.95	 Helin's Second Truth	Hellin's Second Truth	哈林的第二个真实的故事
7300	likely-same	0.78	Moira's Whereabouts	[Horntail] Moira's Whereabouts	摩伊拉的行踪
7301	needs-review	0.51	Secret Medicine for Transformation	[Horntail] The Transformation Potion	变身秘药
7302	needs-review	0.45	 Badge of a Squad Member	[Horntail] The Lost Squad	敢死队员的象征
7303	needs-review	0.55	Making the Secret Medicine for Transformation	[Horntail] Taking the Transformation Potion	制作变身秘药
8007	needs-review	0.30	The Scarred Kitty	Fraidy Cat	受伤的猫
8009	needs-review	0.31	Learning to Speak the Kitty Language	Feline Discourse	学猫语
8012	likely-same	0.79	Sakura, the Kitty, and the Orange Marble	Sakura, Fraidy Cat, and the Orange Marble	美代子，猫和雨珠子
8018	likely-same	0.69	Sakura's Crying	Sakura's Tears	哭泣的美代子
8019	needs-review	0.20	I should talk to the Boss Kitty in kitty language.	Catty Conversations	用猫语与波斯猫对话
8029	needs-review	0.33	Actor Training	Casting the Role	演员修炼
8048	needs-review	0.11	Arwen and Ellinia	-	Arwen and Ellinia
8050	needs-review	0.12	Today's Schedule	-	Today's Schedule
8051	needs-review	0.12	An Unknown Love	-	An Unknown Love
8065	likely-same	0.93	The Ghost Whereabout	The Ghost's Whereabouts	The Ghost's Whereabouts
8072	needs-review	0.17	An Old Code	-	An Old Code
8078	likely-same	0.91	Open Sesami	Open Sesame	Open Sesame
8083	needs-review	0.11	Porter's Challenge	-	Porter's Challenge
8206	needs-review	0.35	Ace of Heart's Secret Ability	Valentine's Day : Heart Chocolate	Valentine's Day : Heart Chocolate
8231	likely-same	0.92	Fool's Gold	Fool's Gold 1	愚者之金 1
8232	likely-same	0.96	Fool's Gold.	Fool's Gold 2	愚者之金 2
8233	likely-same	0.93	Rags to Riches	Rags to Riches 1	飞黄腾达 1
8234	likely-same	0.97	Rags to Riches.	Rags to Riches 2	飞黄腾达 2
8235	likely-same	0.94	One Step A-Head	One Step A-Head 1	开“头”很重要 1
8236	likely-same	0.97	One Step A-Head.	One Step A-Head 2	开“头”很重要 2
8237	likely-same	0.96	Catch a Bigfoot by the Toe	Catch a Bigfoot by the Toe 1	要的就是大脚怪的脚趾 1
8238	likely-same	0.98	Catch a Bigfoot by the Toe.	Catch a Bigfoot by the Toe 2	要的就是大脚怪的脚趾 2
8248	likely-same	0.70	Maple 7th Day Market omok festival!	Maple 7th Day Market opens tomorrow!	冒险岛周末集市
8249	likely-same	0.65	Maple 7th Day Market card-game convention!	Maple 7th Day Market	冒险岛周末集市!
8251	needs-review	0.48	Assembling the toy-armada!	Helping the daughter of the poultry farm owner, Lazy Daisy	帮助养鸡场主人的女儿烦斯乐。
8254	needs-review	0.20	Collection skills	Hatch the egg	孵化鸡蛋的努力
8297	likely-same	0.78	A secret that Mr. Moneybags knows.	A secret that Cody knows.	A secret that Cody knows.
8821	needs-review	0.05	Thanksgiving : Turkey Yellow Egg hunt	-	感恩节：收集黄色火鸡蛋
8822	needs-review	0.05	Thanksgiving : Turkey Green Egg hunt	-	感恩节：收集绿色火鸡蛋
8823	needs-review	0.07	Thanksgiving : Pumpkin Pie	-	感恩节：南瓜馅饼
8829	needs-review	0.05	Festival of Lights - Building the Altar	-	Festival of Lights - Building the Altar
8830	needs-review	0.05	Festival of Lights - Blessing the Festival 	-	Festival of Lights - Blessing the Festival
8832	needs-review	0.13	Graham Cracked	-	Graham Cracked
8833	needs-review	0.06	Spot On : An Interesting Chore	-	New Year's Wishes 1
8834	needs-review	0.10	New Year's Wishes 2	-	New Year's Wishes 2
8843	needs-review	0.04	Festival of Lights - Blessing the Festival reward	-	Festival of Lights - Blessing the Festival reward
8848	needs-review	0.07	Amoria : The Sakura Garden 1	-	Amoria : The Sakura Garden 1
8849	needs-review	0.04	Amoria : The Sakura Garden 2 - Finishing Touches	-	Amoria : The Sakura Garden 2 - Finishing Touches
8850	needs-review	0.06	Amoria : Cupid's Courier - Beginner	-	Amoria : Cupid's Courier - Beginner
8851	needs-review	0.06	Amoria : Cupid's Courier - Warrior	-	Amoria : Cupid's Courier - Warrior
8852	needs-review	0.06	Amoria : Cupid's Courier - Magician	-	Amoria : Cupid's Courier - Magician
8853	needs-review	0.06	Amoria : Cupid's Courier - Bowman	-	Amoria : Cupid's Courier - Bowman
8854	needs-review	0.06	Amoria : Cupid's Courier - Thief	-	Amoria : Cupid's Courier - Thief
8855	needs-review	0.05	Amoria : Cupid's Courier  - Beginner	-	Amoria : Cupid's Courier  - Beginner
8856	needs-review	0.06	Amoria : Cupid's Courier - Warrior	-	Amoria : Cupid's Courier - Warrior
8857	needs-review	0.06	Amoria : Cupid's Courier - Magician	-	Amoria : Cupid's Courier - Magician
8858	needs-review	0.06	Amoria : Cupid's Courier - Bowman	-	Amoria : Cupid's Courier - Bowman
8859	needs-review	0.06	Amoria : Cupid's Courier - Thief	-	Amoria : Cupid's Courier - Thief
8860	needs-review	0.08	Amoria : Beauty or Beast!	-	Amoria : Beauty or Beast!
8862	needs-review	0.11	Amoria : Marriage	-	Amoria : Marriage
8863	needs-review	0.07	Amoria : Red Dahlia - Warrior	-	Amoria : Red Dahlia - Warrior
8864	needs-review	0.06	Amoria : Red Dahlia - Magician	-	Amoria : Red Dahlia - Magician
8865	needs-review	0.07	Amoria : Red Dahlia - Bowman	-	Amoria : Red Dahlia - Bowman
8866	needs-review	0.07	Amoria : Red Dahlia -  Thief	-	Amoria : Red Dahlia -  Thief
8867	needs-review	0.04	Amoria : Circle of Trust 1 (The Unmarried Couple)	-	Amoria : Circle of Trust 1 (The Unmarried Couple)
8868	needs-review	0.04	Amoria : Circle of Trust 2 (A Bond is Forged)	-	Amoria : Circle of Trust 2 (A Bond is Forged)
8869	needs-review	0.06	Spot On : An Interesting Chore	-	Spot On : An Interesting Chore
8870	needs-review	0.08	Spot On : Go See Mr. Spot	-	Spot On : Go See Mr. Spot
8871	needs-review	0.06	Circle of Trust - Repaired Ring	-	Circle of Trust - Repaired Ring
8873	needs-review	0.09	Easter : Easter Basket	-	Easter : Easter Basket
8874	needs-review	0.06	Easter : Mad Bunny's Easter(Yellow)	-	Easter : Mad Bunny's Easter(Yellow)
8875	needs-review	0.06	Easter : Mad Bunny's Easter(Green)	-	Easter : Mad Bunny's Easter(Green)
8879	needs-review	0.05	2nd Anniversary : Birthday Present (Red)	-	慶祝兩週年：紅色禮物盒
8880	needs-review	0.05	2nd Anniversary : Birthday Present (Blue)	-	慶祝兩週年：藍色禮物盒
8881	needs-review	0.06	2nd Anniversary : Cody's Quest	-	慶祝兩週年：科迪的請求
8885	needs-review	0.06	Summer Break: Cody's BBQ - Start	-	Summer Break: Cody's BBQ - Start
8886	needs-review	0.08	Summer Break: Cody's BBQ.	-	Summer Break: Cody's BBQ.
8887	needs-review	0.07	Summer Break: Cody's BBQ..	-	Summer Break: Cody's BBQ..
8888	needs-review	0.07	Summer Break: Cody's BBQ...	-	Summer Break: Cody's BBQ...
9012	needs-review	0.15	테오의 옛날 추억 회상	Teo's Nostalgic Reminiscing	特奥的往事回忆
9260	needs-review	0.42	Torr's Horn	[Happyville] Torr's Antlers	头羊的角
9270	likely-same	0.64	새해이벤트 : HappyNewYear	New Year's Event: Happy New Year!	新年活动: HappyNewYear
9370	needs-review	0.10	몬스터의 습격	Monster Attack	怪物的袭击
9371	needs-review	0.15	악의 기운 봉인	Evil Energy Sealed	封印邪恶气息
9372	needs-review	0.13	기억하고 있는 자를 찾아서...	In Search of the Rememberer...	寻找记忆者……
9450	needs-review	0.19	테오의 옛날 추억 회상 1	Teo's Nostalgic Reminiscing I	特奥的往事回忆1
9451	needs-review	0.18	테오의 옛날 추억 회상 2	Teo's Nostalgic Reminiscing II	特奥的往事回忆 2
9661	needs-review	0.15	협동하는 법:첫번째 동행	Collaborative Effort: First Time Together	合作方法：第一次同行
9662	needs-review	0.12	수정구의 균열:차원의 균열	The Crystal Ball: Dimensional Schism	水晶球的破裂：次元的破裂
9663	needs-review	0.15	여신의 슬픔을 위로할 자:여신의 흔적	Consoler of the Goddess: Remnant of the Goddess	安慰女神：女神的痕迹
9664	needs-review	0.12	카산드라의 복수:해적 데비존 	Cassandra's Revenge: Lord Pirate	星缘的报复：老海盗
9880	needs-review	0.19	현상수배 : 마노	Wanted: Mano	悬赏通缉：红蜗牛王
9881	needs-review	0.17	현상수배 : 스텀피	Wanted: Stumpy	悬赏通缉：树妖王
9882	needs-review	0.21	현상수배 : 킹크랑	Wanted: King Clang	悬赏通缉：巨居蟹
9883	needs-review	0.24	현상수배 : 태륜	Wanted: Tae Roon	悬赏通缉：肯德熊
9884	needs-review	0.17	현상수배 : 엘리쟈	Wanted: Eliza	悬赏通缉：艾利杰
9885	needs-review	0.16	현상수배 : 스노우맨	Wanted: Nyalmo	悬赏通缉：驮狼雪人
9887	needs-review	0.15	카산드라의 선물	Gift From Cassandra	星缘的礼物
9889	needs-review	0.11	조각난 주문서	Torn Scroll	卷轴碎片
9954	needs-review	0.12	카산드라의 건망증	Cassandra's Forgetfulness	星缘的健忘症
9955	needs-review	0.08	아리안트 투기대회	Ariant Coliseum	阿里安特竞技赛
9991	needs-review	0.12	스피드 퀴즈	Speed Quiz	快速问答
10016	needs-review	0.22	우수요원뱃지를 획득하라!	Obtain the Excellent Agent Badge!	获得优秀工作人员徽章！
10017	needs-review	0.20	요원특별강화프로그램에 참여하라!	Participate in the Special Agent Enrichment Program!	参加工作人员特别强化项目！
10260	needs-review	0.25	순결한 향수 만들기1	Making Pure Perfume 1	制作纯洁的香水1
10261	needs-review	0.25	순결한 향수 만들기2	Making Pure Perfume 2	制作纯洁的香水2
10262	needs-review	0.25	순결한 향수 만들기3	Making Pure Perfume 3	制作纯洁的香水3
10263	needs-review	0.25	순결한 향수 만들기4	Making Pure Perfume 4	制作纯洁的香水4
10264	needs-review	0.15	숨어있는 몬스터 퇴치	Defeating the Hidden Monster	击退隐藏的怪物
10265	needs-review	0.15	숨어있는 몬스터 퇴치	Defeating the Hidden Monster	击退隐藏的怪物
10266	needs-review	0.15	숨어있는 몬스터 퇴치	Defeating the Hidden Monster	击退隐藏的怪物
10267	needs-review	0.15	숨어있는 몬스터 퇴치	Defeating the Hidden Monster	击退隐藏的怪物
10268	needs-review	0.33	가가의 사랑 편지1	Gaga's Love Letter 1	佳佳的情书1
10270	needs-review	0.33	가가의 사랑 편지2	Gaga's Love Letter 2	佳佳的情书2
10271	needs-review	0.33	가가의 사랑 편지3	Gaga's Love Letter 3	佳佳的情书3
10272	needs-review	0.33	가가의 사랑 편지4	Gaga's Love Letter 4	佳佳的情书4
10273	needs-review	0.30	우리는 메이플 패밀리	We are all part of the Maple family	我们是冒险岛大家庭
10274	needs-review	0.18	메이플 6주년 파티준비	MapleStory 5th Anniversary Party Preparation.	为冒险岛6周年宴会做准备
10275	needs-review	0.17	메이플 6주년 파티준비!	MapleStory 5th Anniversary Party Preparation!	为冒险岛6周年宴会做准备！
10276	needs-review	0.07	메이플 6주년 파티준비!!	MapleStory 5th Anniversary Party Preparation!!	为冒险岛6周年宴会做准备！！
10277	needs-review	0.10	메이플 6주년 파티준비!!!	MapleStory 5th Anniversary Party Preparation!!!	为冒险岛6周年宴会做准备！！！
10278	needs-review	0.12	메이플 6주년 축하해	Happy 5th Anniversary	祝贺冒险岛6周年
10279	needs-review	0.18	메이플 6주년 축하해!	Happy 5th Anniversary!	祝贺冒险岛6周年！
10280	needs-review	0.11	메이플 6주년 축하해!!	Happy 5th Anniversary!!	祝贺冒险岛6周年！！
10281	needs-review	0.16	메이플 6주년 축하해!!!	Happy 5th Anniversary!!!	祝贺冒险岛6周年！！！
10282	needs-review	0.09	인기 몬스터의 초상화 : 주황버섯	Portrait of a Popular Monster: Orange Mushroom	人气怪物的肖像画：花蘑菇
10283	needs-review	0.07	인기 몬스터의 초상화 : 옥토퍼스	Portrait of a Popular Monster: Octopus	人气怪物的肖像画：三眼章鱼
10284	needs-review	0.08	인기 몬스터의 초상화 : 예티	Portrait of a Popular Monster: Yeti	人气怪物的肖像画：白雪人
10287	needs-review	0.22	아르미의 황금 단풍잎	Aramia's Golden Maple Leaf	阿乐米的金枫叶
10320	count-drift	0.48	Artifact Hunt 2500 points acquired!	2012 Artifact Hunt Contest Participation	遗物大会点数达到2500点！！
10321	needs-review	0.56	Artifact Hunt 4000 points acquired!	Artifact Hunt Gift Box	遗物大会点数达到4000点！！
10328	needs-review	0.54	8 Mystical Treasures	Mystical Artifact Discoverer	8种神秘的宝物
10340	needs-review	0.52	The Return!	They're Coming Back!	他们复活了！！
10341	needs-review	0.42	Aran's Revival	The Revival of the Arans	战神的复活
10345	likely-same	0.95	Signs of the Revival	Signs of Their Revival	复活的征兆
10347	needs-review	0.43	The Wolf In Waiting	Wolves Waiting for their Masters	等待主人的狼
10349	likely-same	0.96	Preparing for the Arrival	Preparing for Their Arrival	迎接他们的准备
10351	needs-review	0.44	The Hero's Memory	The Memory of the Heroes	英雄的记忆
10353	needs-review	0.59	The Truth About Memory Fragments	The Hidden Meaning Behind the Memory Fragments	痕迹的实体
10354	likely-same	0.72	To Whom Should Cassandra's Album Go?	Who Deserves Cassandra's Album?	把星缘的相册交给谁？
10405	count-drift	0.77	2009 Pink Flower Floatie!	2011 Pink Flower Tube!	2010粉色花边游泳圈！
10431	needs-review	0.19	가가의 남색 크레파스	Gaga's Indigo Crayon	佳佳的蓝色蜡笔
10432	needs-review	0.19	가가의 보라색 크레파스	Gaga's Violet Crayon	佳佳的紫色蜡笔
10433	needs-review	0.21	가가의 빨간색 크레파스	Gaga's Red Crayon	佳佳的红色蜡笔
10434	needs-review	0.19	가가의 주황색 크레파스	Gaga's Orange Crayon	佳佳的橙色蜡笔
10435	needs-review	0.19	가가의 노란색 크레파스	Gaga's Yellow Crayon	佳佳的黄色蜡笔
10436	needs-review	0.19	가가의 초록색 크레파스	Gaga's Green Crayon	佳佳的绿色蜡笔
10437	needs-review	0.20	가가의 파란색 크레파스	Gaga's Blue Crayon	佳佳的青色蜡笔
10438	needs-review	0.19	가가의 남색 크레파스	Gaga's Indigo Crayon	佳佳的蓝色蜡笔
10439	needs-review	0.19	가가의 보라색 크레파스	Gaga's Violet Crayon	佳佳的紫色蜡笔
10440	needs-review	0.21	가가의 빨간색 크레파스	Gaga's Red Crayon	佳佳的红色蜡笔
10441	needs-review	0.19	가가의 주황색 크레파스	Gaga's Orange Crayon	佳佳的橙色蜡笔
10442	needs-review	0.19	가가의 노란색 크레파스	Gaga's Yellow Crayon	佳佳的黄色蜡笔
10443	needs-review	0.19	가가의 초록색 크레파스	Gaga's Green Crayon	佳佳的绿色蜡笔
10444	needs-review	0.20	가가의 파란색 크레파스	Gaga's Blue Crayon	佳佳的青色蜡笔
10445	needs-review	0.19	가가의 크레파스	Gaga's Crayon	佳佳的蜡笔
10450	needs-review	0.18	레인보우 위크:빨간색의 마법	Rainbow Week: Red Monday Magic	彩虹周：红色魔法
10451	needs-review	0.18	레인보우 위크:빨간색의 마법	Rainbow Week: Red Monday Magic	彩虹周：红色魔法
10452	needs-review	0.16	레인보우 위크:노란색의 마법	Rainbow Week: Yellow Wednesday Magic	彩虹周：黄色魔法
10453	needs-review	0.16	레인보우 위크:노란색의 마법	Rainbow Week: Yellow Wednesday Magic	彩虹周：黄色魔法
10454	needs-review	0.16	레인보우 위크:노란색의 마법	Rainbow Week: Yellow Wednesday Magic	彩虹周：黄色魔法
10455	needs-review	0.16	레인보우 위크:노란색의 마법	Rainbow Week: Yellow Wednesday Magic	彩虹周：黄色魔法
10456	needs-review	0.16	레인보우 위크:노란색의 마법	Rainbow Week: Yellow Wednesday Magic	彩虹周：黄色魔法
10457	needs-review	0.16	레인보우 위크:노란색의 마법	Rainbow Week: Yellow Wednesday Magic	彩虹周：黄色魔法
10458	needs-review	0.20	골드리치의 나침반	Gold Richie's Compass	钻石王老五的罗盘
10459	needs-review	0.20	골드리치의 나침반	Gold Richie's Compass	钻石王老五的罗盘
19001	likely-same	0.60	Maple Nut	Maple Lover	热爱冒险岛勋章
20701	likely-same	0.62	1st Acclimation Training	First Time Together Training	第一次实地适应训练
21710	needs-review	0.28	A Monster War?	Raging Horny Mushrooms	刺蘑菇的愤怒？
21711	needs-review	0.49	Enter the Cynical Orange Mushrooms!	When Mushrooms Cry	哭泣的蓝蘑菇登场
21714	needs-review	0.31	Green Mushrooms	Golems Amok	寺院的石头人
21715	needs-review	0.20	Tree Witness	Camila's Testimony	卡米拉的证言
21717	needs-review	0.41	Rowen's Request 1	What Chief Stan Says 1	长老斯坦的委托1
21718	needs-review	0.41	Rowen's Request 2	What Chief Stan Says 2	长老斯坦的委托2
21727	needs-review	0.19	Zombie Mushrooms	The forest is getting out of control!	森林好乱！
28001	likely-same	0.81	In Preparation for the Party	[Happyville] In Preparation for the Party	派对准备
28102	needs-review	0.07	Amoria : Red Dahlia - Pirate	-	Amoria : Red Dahlia - Pirate
28103	needs-review	0.06	Amoria : Cupid's Courier - Pirate	-	Amoria : Cupid's Courier - Pirate
28104	needs-review	0.06	Amoria : Cupid's Courier - Pirate	-	Amoria : Cupid's Courier - Pirate
28162	needs-review	0.06	Meeting the Training Instructor	-	会见培训导师
28163	needs-review	0.10	Advanced Training-1	-	高级培训-1
28164	needs-review	0.10	Advanced Training-2	-	高级培训-2
28165	needs-review	0.06	Reporting the Training Results	-	报告培训结果
28166	needs-review	0.13	Meeting Ervine	-	会见欧文
28167	needs-review	0.08	Inspecting the Water Pipe	-	检查水管
28168	needs-review	0.13	Sticky Slimes!	-	粘连的绿水灵！
28169	needs-review	0.12	Visiting Henesys	-	造访射手村
28170	needs-review	0.07	What Does Chief Stan Like?	-	长老斯坦喜欢什么？
28171	needs-review	0.06	The Reason Why Chief Stan is Livid	-	长老斯坦为何暴跳如雷
28172	needs-review	0.10	Searching for Clues	-	寻找线索
28173	needs-review	0.07	Heading Over to The Nautilus!	-	仔细思考诺特勒斯的事情！
28174	needs-review	0.08	Investigation in Progress	-	调查正在进行
28175	needs-review	0.13	A Special Wine	-	特殊的酒
28176	needs-review	0.10	Solving the Mystery	-	解开谜团
28177	needs-review	0.10	Catching the Suspect	-	抓住嫌疑犯
28178	needs-review	0.12	Who Changed Him?	-	谁改变了他？
28179	needs-review	0.10	Dances with Andras!	-	与印第安老斑鸠共舞！
28180	needs-review	0.06	The First Encounter with Lucci	-	第一次与露西相遇
28181	needs-review	0.10	Rigorous Training-1	-	严格的培训-1
28182	needs-review	0.10	Rigorous Training-2	-	严格的培训-2
28183	needs-review	0.10	Rigorous Training-3	-	严格的培训-3
28184	needs-review	0.10	Rigorous Training-4	-	严格的培训-4
28185	needs-review	0.04	Reporting the Training Results to Grendel the Really Old	-	向汉斯报告培训结果
28186	needs-review	0.07	The Journey of the Nautilus	-	诺特勒斯的旅途
28187	needs-review	0.07	Show Kyrin What You've Got!	-	给凯琳看看你的收获！
28188	needs-review	0.07	Finding Chief Stan in Henesys	-	在射手村找到了长老斯坦
28189	needs-review	0.06	Ingredients for the Cold Medicine	-	感冒药配方
28190	needs-review	0.07	Delivering the Cold Medicine	-	运送感冒药
28191	needs-review	0.09	The Coughing Dark Lord	-	咳嗽的达克鲁的分身
28192	needs-review	0.09	Virus Sample Research	-	病毒标本研究
28193	needs-review	0.06	Virus is Spreading Via the Water?	-	病毒通过水传播？
28194	needs-review	0.12	Find the Clues!	-	找到线索！
28195	needs-review	0.18	To Perion!	-	向勇士部落进发！
28196	needs-review	0.08	The Demon Behind It All	-	背后的罪魁祸首
28197	needs-review	0.10	Returning to Ellinia	-	返回魔法密林
28198	needs-review	0.11	Marbas the Demon!	-	恶魔牛魔王！！
28199	needs-review	0.07	First Encounter with Ervine	-	第一次与欧文相遇
28200	needs-review	0.06	Even More Challenging Training-1	-	更具挑战性的培训-1
28201	needs-review	0.06	Even More Challenging Training-2	-	更具挑战性的培训-2
28202	needs-review	0.05	Reporting the Training Results to Dark Lord	-	向达克鲁的分身报告培训结果
28203	needs-review	0.17	Meeting Jay	-	会见亚华
28204	needs-review	0.11	Find the Lost Book	-	找到失落的书籍
28205	needs-review	0.07	Searching for the Lost Book	-	找寻失落的书籍
28206	needs-review	0.08	Returning the Book to Jay	-	将书籍还给亚华
28207	needs-review	0.07	Meeting Kyrin of The Nautilus	-	会见诺特勒斯的凯琳
28208	needs-review	0.12	Kyrin's Request	-	凯琳的要求
28209	needs-review	0.13	Baine Likes...	-	贝音喜欢…
28210	needs-review	0.06	Commotion on the Ship, No More!	-	舰船上不能再有暴乱了！
28211	needs-review	0.11	Next Stop, Ellinia	-	下一站，魔法密林
28212	needs-review	0.06	The Clue to Ellinia's Burglary Case	-	魔法密林飞贼犯罪事件线索
28213	needs-review	0.03	This Feather, For Some Reason, Seems To Be Related to Perion...	-	这个羽毛，似乎与勇士部落有关…
28214	needs-review	0.06	The Secret of the Golden Feather	-	金色羽毛的秘密
28215	needs-review	0.12	A Burglar Demon	-	飞贼恶魔
28216	needs-review	0.08	Returning to Kerning City	-	返回废都
28217	needs-review	0.11	The Demon Likes...	-	恶魔喜欢…
28218	needs-review	0.09	Shumi, the Coin Mania	-	休咪，货币狂人
28219	needs-review	0.13	Catch Valefor!	-	抓住沃勒福！
28220	needs-review	0.05	Encounter with Hill, the Antique Collector	-	遇见古董收藏商希尔
28221	needs-review	0.07	Show Me What You're Made Of-1	-	让我看看你的本事
28222	needs-review	0.07	Show Me What You're Made Of-2	-	让我看看你的本事-2
28223	needs-review	0.04	Reporting the Training Results to Athena Pierce	-	向赫丽娜报告培训结果
28224	needs-review	0.09	Delivering the Antique	-	运送古董
28225	needs-review	0.13	Antique Search	-	古董搜索
28226	needs-review	0.15	Back to Hill	-	回到希尔那里
28227	needs-review	0.10	The Cost of Delivery	-	运送成本
28228	needs-review	0.08	The Legend Has It That...	-	传说…
28229	needs-review	0.10	The Fairies Like...	-	仙女喜欢…
28230	needs-review	0.14	Solomon's Bow	-	所罗门之弓
28231	needs-review	0.05	Restoring the Memory of the Ancient Bow	-	恢复远古之弓的记忆
28232	needs-review	0.10	Another Storyteller	-	另一个讲故事的人
28233	needs-review	0.07	Putting the Legend to a Test	-	验证传说的真实性
28234	needs-review	0.10	Revival of the Demon	-	恶魔复苏
28235	needs-review	0.08	So the Demons Like Noise?	-	这么说来，恶魔喜欢噪音？
28236	needs-review	0.11	Catching the Demon	-	抓住恶魔
28237	needs-review	0.09	The Legendary Revival	-	传说般的复苏
28238	needs-review	0.06	The Final Battle with Amdusias	-	与黑暗独角兽的最终战役
28239	needs-review	0.12	Finding Muirhat	-	寻找木拉特
28240	needs-review	0.10	Rigorous Training!-1	-	严格的培训！-1
28241	needs-review	0.10	Rigorous Training!-2	-	严格的培训！-2
28242	needs-review	0.05	Reporting the Training Results to Kyrin	-	向凯琳报告培训结果
28243	needs-review	0.06	The Mystery of the Green Portion	-	绿色药水的秘密
28244	needs-review	0.08	Grendel the Really Tipsy	-	蹒跚老人汉斯
28245	needs-review	0.05	You Can't Teach an Old Dog New Tricks	-	你无法让守旧的人接受新事物
28246	needs-review	0.06	The Mystery of the Red Portion	-	红色药水的秘密
28247	needs-review	0.10	Something's Lacking	-	缺乏某样东西
28248	needs-review	0.07	Calming the Soul with Music	-	用音乐安抚灵魂
28249	needs-review	0.12	To Kerning City	-	前往废都
28250	needs-review	0.06	The Mystery of the White Portion	-	白色药水的秘密
28251	needs-review	0.07	The Completed Treasure Map	-	完成的藏宝图
28252	needs-review	0.07	Searching for the Treasures	-	搜寻宝藏
28253	needs-review	0.08	Where Are the Treasures?	-	宝藏在何处？
28254	needs-review	0.08	There Are No Treasures?!	-	根本没有宝藏？！
28255	needs-review	0.08	Searching for the Demon	-	搜寻恶魔
28256	needs-review	0.06	Treasure, and Crocell the Demon	-	宝藏与恶魔雪之猫女
28257	needs-review	0.07	Who Broke the Seal of Andras?	-	谁解开了印第安老斑鸠的封印？
28258	needs-review	0.06	Who Broke the Seal of Valefor?	-	谁解开了沃勒福的封印？
28259	needs-review	0.06	Who Broke the Seal of Amdusias?	-	谁解开了黑暗独角兽的封印？
28260	needs-review	0.06	Who Broke the Seal of Crocell?	-	谁解开了雪之猫女的封印？
28261	needs-review	0.07	Who Broke the Seal of Marbas?	-	谁解开了牛魔王的封印？
28262	needs-review	0.11	Revealed Identity	-	揭示的身份
28263	needs-review	0.07	The Rememberer's Training-1	-	记忆者培训-1
28264	needs-review	0.07	The Rememberer's Training-2	-	记忆者培训-2
28265	needs-review	0.07	The Rememberer's Training-3	-	记忆者培训-3
28266	needs-review	0.11	Secret of Astaroth	-	地狱大公的秘密
28267	needs-review	0.07	[Collect] I Need an Umbrella!	-	我需要一把雨伞！
28268	needs-review	0.05	[Hunt] The Pigs Are Ruining the Produce!	-	毁坏庄稼的一群猪！
28269	needs-review	0.05	[Hunt] The Terrorizing Red Ribbon Pigs	-	吓人的漂漂猪
28270	needs-review	0.08	[Hunt] Pigs at the Corner	-	角落中的猪猪
